id,created_at,start_at,end_at,address,title,dao_name,author_address,token_address,network_name,token_symbol,vote_start_at
67,2022-08-04 02:14:02.31+00,2022-08-04 02:21:00+00,2022-08-05 03:12:00+00,0xaB56FdcAEa753e922FE558ee22ed6092ECd9E897,IBC or Brigde?,,0x1ccb144B700EC726d37Db38c617E154De6d9c0d0,0xFC9a0FD64f098335E1A6330526D1c6ec2B0e9EF1,polygon,NBESSAY,2022-08-04 03:12:00+00
68,2022-08-04 07:32:01.488+00,2022-08-04 07:40:00+00,2022-11-05 07:31:00+00,0xe0a0Ad36cE28883A3FdD44bB5060adDB5500029f,okl,,0x6ea24f3cDDDF5B88F90B73A2d7df7ad9C0f9BEC4,0x691c81587Af2d32BC51418Ba3c5709aA28FF8d99,polygon,kkn,2022-08-18 10:31:00+00
69,2022-08-04 09:16:56.377+00,2022-08-04 09:26:00+00,2022-08-20 09:16:00+00,0xdC881B9fb30249e5024D1fDf872EB18fE2C81089,are you crazy?,,0xE21F83B5AEEe7CD5548E70348F86ABb0C80e283e,0x39dB03Cd50A3C72DD92307DcFc0A6975518D8e16,polygon,crazy,2022-08-05 09:16:00+00
70,2022-08-04 09:50:21.752+00,2022-08-18 21:59:00+00,2022-09-03 09:48:00+00,0x4B74A487C38647E875A3914a3c5EefB74023Cb99,Muhabbitteki en sacma kullaniciyi ve neden onu sectiginizi belirtiniz. ,,0xF7cE58161AC63bc3926C9C605A3bC9062691E25c,0xD0821246D34EE1327CD6009f0a9D3FE61c69a902,polygon,MTCF,2022-08-20 09:48:00+00
71,2022-08-04 10:16:40.813+00,2022-08-04 10:17:00+00,2022-08-04 11:25:00+00,0x58b1DEB5c39b835114D2Cc469e7CD86084a248aB,Test for OGs,,0xc3177BC4a013bdE39419f7108fad6f82567CA568,0x2dCA330C62094C2bFe5A65e61BF7471D505a1e86,polygon,MTCC,2022-08-04 10:18:00+00
72,2022-08-04 12:38:45.681+00,2022-08-04 12:40:00+00,2022-08-05 16:30:00+00,0x1716Cf952dcD939b8Ad50f98c39918d2d762c96b,jokerace 23: aave edition,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x2e797eF63e79956C8746480f61026F73d4821501,polygon,joke23,2022-08-05 16:00:00+00
73,2022-08-04 14:08:50.192+00,2022-08-04 14:10:00+00,2022-08-07 16:00:00+00,0x691A0D45e68E84125fD66b65f0af24C0023f6482,"Can Bitcoin reach 25,000?",,0x2d9E673D1Cc5b2618025F43659788FdFCF8D9931,0xCe9776F6D3dbbe2625075ADEB1090D13A355963C,polygon,FeiFei,2022-08-04 14:11:00+00
74,2022-08-04 14:46:13.887+00,2022-08-04 14:55:00+00,2022-09-09 18:49:00+00,0x20FFE26C993a0160b4E912859D120088fb61e5e7,fff,,0x695455e634642a2bDbD681923782C55fFb1f2127,0xed19cAAe9630Fa0d069683dfa881c5b99668532D,polygon,DOLLY,2022-08-05 18:49:00+00
75,2022-08-04 14:48:36.976+00,2022-08-04 14:55:00+00,2022-08-05 14:48:00+00,0x18Bc5F6C68bc3Aa87C6EEF95Fa56A29431d3533B,Did you get a room for Chinese Valentine's Day,,0xEC3d3b8C12FF13854D11a5d105F678fa4B2F80D9,0xf87016d34844a3292bd457cd81fb3ec5b57aefdd,polygon,axib2,2022-08-04 14:56:00+00
76,2022-08-04 14:51:15.366+00,2022-08-04 15:00:00+00,2022-08-05 14:50:00+00,0x65EE79CAAfC73D9e9d8e2D31994779fB00BFf41a,Did you get a room for Chinese Valentine's Day,,0xEC3d3b8C12FF13854D11a5d105F678fa4B2F80D9,0xf87016d34844a3292bd457cd81fb3ec5b57aefdd,polygon,axib2,2022-08-04 15:01:00+00
77,2022-08-04 15:05:55.518+00,2022-08-04 15:14:00+00,2022-08-05 15:05:00+00,0x21660AB71904fe77219c438f9FCeFaAA14C691ff,Tired really tm!!!,,0xEC3d3b8C12FF13854D11a5d105F678fa4B2F80D9,0x89Fcba59662Ef5e4b3c328a98012E59dC93A7bc5,polygon,du,2022-08-04 15:16:00+00
78,2022-08-04 15:52:13.396+00,2022-08-04 16:00:00+00,2022-10-04 16:00:00+00,0x6AAf9c03A4E3d9680452435A069811fcFCD76d24,Airdrop for RobotDao,,0x2CCed186C0B172443884B0dAe52695e847EE010d,0x6111D006603B7D24588259ad71CaDaDe8719cf49,polygon,robot,2022-08-04 16:01:00+00
79,2022-08-04 17:01:14.732+00,2022-08-04 17:07:00+00,2022-08-18 17:00:00+00,0x9Bd9B4795a6dAe577d3B274B6d1CCcDa1c821D50,Create original art for DAO fundraising project.,,0xBA6dbb885926d4cDD82B99dd711239a9e36CCc3a,0x5cb2d463c114fb058dEb071eCE74FE1b027513AB,polygon,TBFJDAO,2022-08-11 17:00:00+00
80,2022-08-05 03:44:41.919+00,2022-08-05 03:54:00+00,2022-09-02 06:44:00+00,0x2892A6993e35Cb2dc24f6205Dc6bF4F227eF81E3,test,,0x8781eF9d4Ec71bBF965980E6C7649c8fc09DB28b,0x454ca0A7A1B83709EaDeD7B93Af535031B37d722,polygon,t,2022-08-11 22:44:00+00
